day,sessions,building_load_kwh,ev_energy_kwh,pv_available_kwh,baseline_cost_eur,smart_cost_eur,cost_saving_eur,cost_saving_percent,baseline_import_kwh,smart_import_kwh,import_reduction_kwh,import_reduction_percent,baseline_export_kwh,smart_export_kwh,baseline_peak_kw,smart_peak_kw,peak_reduction_kw,peak_reduction_percent,baseline_pv_used_kwh,smart_pv_used_kwh,baseline_pv_util_percent,smart_pv_util_percent,smart_battery_throughput_kwh,smart_equivalent_cycles,scenario,ev_multiplier,pv_multiplier,battery_multiplier,price_multiplier
183,5,290.98,82.5,115.55,54.41,53.85,0.56,1.03,260.01,260.01,0.0,0.0,0.0,0.0,15.66,15.66,0.0,0.0,115.55,115.55,100.0,100.0,19.84,0.6,High_EV_Demand_150,1.5,1.0,1.0,1.0
23,25,242.62,432.0,148.65,81.39,78.72,2.67,3.28,526.38,525.97,0.41,0.08,0.0,0.0,58.0,50.37,7.63,13.16,148.65,148.65,100.0,100.0,0.0,0.0,High_EV_Demand_150,1.5,1.0,1.0,1.0
153,35,266.04,694.5,400.15,67.86,57.41,10.45,15.4,562.71,562.47,0.24,0.04,0.0,0.0,82.98,89.1,-6.12,-7.37,400.15,400.15,100.0,100.0,19.84,0.6,High_EV_Demand_150,1.5,1.0,1.0,1.0
183,5,290.98,55.0,80.89,55.89,55.39,0.49,0.88,267.18,267.18,0.0,0.0,0.0,0.0,15.85,15.85,0.0,0.0,80.89,80.89,100.0,100.0,19.84,0.6,Low_PV_70,1.0,0.7,1.0,1.0
23,25,242.62,288.0,104.05,65.51,63.73,1.78,2.72,426.76,426.57,0.2,0.05,0.0,0.0,40.87,35.8,5.07,12.4,104.05,104.05,100.0,100.0,0.0,0.0,Low_PV_70,1.0,0.7,1.0,1.0
153,35,266.04,463.0,280.11,55.06,47.84,7.22,13.12,451.01,451.01,-0.0,-0.0,0.0,0.0,55.07,65.6,-10.54,-19.13,280.11,280.11,100.0,100.0,19.84,0.6,Low_PV_70,1.0,0.7,1.0,1.0
183,5,290.98,55.0,150.22,44.87,44.28,0.59,1.32,200.49,197.85,2.64,1.32,2.64,0.0,15.47,15.47,0.0,0.0,150.22,150.22,100.0,100.0,19.84,0.6,High_PV_130,1.0,1.3,1.0,1.0
23,25,242.62,288.0,193.24,52.44,50.17,2.28,4.34,339.46,337.38,2.08,0.61,0.0,0.0,26.28,23.79,2.49,9.47,193.24,193.24,100.0,100.0,0.0,0.0,High_PV_130,1.0,1.3,1.0,1.0
153,35,266.04,463.0,520.2,30.82,26.13,4.69,15.23,228.0,210.92,17.08,7.49,15.6,0.0,28.01,19.82,8.19,29.23,520.2,520.2,100.0,100.0,19.84,0.6,High_PV_130,1.0,1.3,1.0,1.0
183,5,290.98,55.0,115.55,48.7,48.24,0.47,0.96,234.59,234.59,0.0,0.0,0.0,0.0,14.46,14.46,0.0,0.0,115.55,115.55,100.0,100.0,39.68,0.6,Large_Battery_2x,1.0,1.0,2.0,1.0
23,25,242.62,288.0,148.65,58.87,56.95,1.93,3.27,382.48,381.97,0.51,0.13,0.0,0.0,33.91,29.79,4.11,12.13,148.65,148.65,100.0,100.0,0.0,0.0,Large_Battery_2x,1.0,1.0,2.0,1.0
153,35,266.04,463.0,400.15,41.77,36.86,4.91,11.75,333.55,333.05,0.5,0.15,0.0,0.0,39.79,44.99,-5.2,-13.06,400.15,400.15,100.0,100.0,39.68,0.6,Large_Battery_2x,1.0,1.0,2.0,1.0
183,5,290.98,55.0,115.55,52.0,51.42,0.58,1.11,232.16,230.43,1.73,0.75,1.73,0.0,18.15,18.15,0.0,0.0,115.55,115.55,100.0,100.0,0.0,0.0,No_Battery,1.0,1.0,0.0,1.0
23,25,242.62,288.0,148.65,59.03,56.95,2.08,3.52,381.97,381.97,0.0,0.0,0.0,0.0,36.08,29.79,6.29,17.43,148.65,148.65,100.0,100.0,0.0,0.0,No_Battery,1.0,1.0,0.0,1.0
153,35,266.04,463.0,400.15,43.38,37.07,6.31,14.54,333.94,328.89,5.05,1.51,5.05,0.0,47.83,40.61,7.22,15.1,400.15,400.15,100.0,100.0,0.0,0.0,No_Battery,1.0,1.0,0.0,1.0
183,5,290.98,55.0,115.55,85.79,84.97,0.82,0.95,234.59,234.59,-0.0,-0.0,0.0,0.0,15.66,15.66,0.0,0.0,115.55,115.55,100.0,100.0,39.68,1.21,High_Electricity_Price_2x,1.0,1.0,1.0,2.0
23,25,242.62,288.0,148.65,93.66,89.61,4.05,4.32,384.06,384.06,0.0,0.0,0.0,0.0,33.91,40.48,-6.57,-19.39,148.65,148.65,100.0,100.0,19.84,0.6,High_Electricity_Price_2x,1.0,1.0,1.0,2.0
153,35,266.04,463.0,400.15,61.66,50.25,11.41,18.5,333.0,381.37,-48.37,-14.53,0.55,50.4,41.54,66.1,-24.56,-59.12,400.15,400.15,100.0,100.0,19.84,0.6,High_Electricity_Price_2x,1.0,1.0,1.0,2.0
