day,vehicles_generated_day,session,assignment,connection_minute,full_minute,disconnection_minute,connection_timestamp,full_timestamp,disconnection_timestamp,energy_kwh
1,8,1,2,450,756,940,2023-01-01 07:30:00,2023-01-01 12:36:00,2023-01-01 15:40:00,7.0
1,8,2,2,541,680,1009,2023-01-01 09:01:00,2023-01-01 11:20:00,2023-01-01 16:49:00,9.0
1,8,3,1,423,965,1032,2023-01-01 07:03:00,2023-01-01 16:05:00,2023-01-01 17:12:00,14.0
1,8,4,2,572,744,966,2023-01-01 09:32:00,2023-01-01 12:24:00,2023-01-01 16:06:00,9.0
1,8,5,4,596,776,884,2023-01-01 09:56:00,2023-01-01 12:56:00,2023-01-01 14:44:00,6.0
1,8,6,0,509,611,1042,2023-01-01 08:29:00,2023-01-01 10:11:00,2023-01-01 17:22:00,5.0
1,8,7,2,505,632,1017,2023-01-01 08:25:00,2023-01-01 10:32:00,2023-01-01 16:57:00,7.0
1,8,8,2,454,717,927,2023-01-01 07:34:00,2023-01-01 11:57:00,2023-01-01 15:27:00,4.0
2,35,1,0,454,590,996,2023-01-02 07:34:00,2023-01-02 09:50:00,2023-01-02 16:36:00,9.0
2,35,2,5,744,816,931,2023-01-02 12:24:00,2023-01-02 13:36:00,2023-01-02 15:31:00,13.0
2,35,3,3,582,839,852,2023-01-02 09:42:00,2023-01-02 13:59:00,2023-01-02 14:12:00,8.0
2,35,4,2,524,691,1014,2023-01-02 08:44:00,2023-01-02 11:31:00,2023-01-02 16:54:00,7.0
2,35,5,2,430,708,801,2023-01-02 07:10:00,2023-01-02 11:48:00,2023-01-02 13:21:00,13.0
2,35,6,2,542,714,944,2023-01-02 09:02:00,2023-01-02 11:54:00,2023-01-02 15:44:00,5.0
2,35,7,2,492,738,902,2023-01-02 08:12:00,2023-01-02 12:18:00,2023-01-02 15:02:00,6.0
2,35,8,3,447,1059,1063,2023-01-02 07:27:00,2023-01-02 17:39:00,2023-01-02 17:43:00,35.0
2,35,9,0,513,624,1012,2023-01-02 08:33:00,2023-01-02 10:24:00,2023-01-02 16:52:00,5.0
2,35,10,5,817,935,1017,2023-01-02 13:37:00,2023-01-02 15:35:00,2023-01-02 16:57:00,13.0
2,35,11,4,465,622,792,2023-01-02 07:45:00,2023-01-02 10:22:00,2023-01-02 13:12:00,9.0
2,35,12,2,476,655,1084,2023-01-02 07:56:00,2023-01-02 10:55:00,2023-01-02 18:04:00,11.0
2,35,13,2,563,871,930,2023-01-02 09:23:00,2023-01-02 14:31:00,2023-01-02 15:30:00,9.0
2,35,14,2,417,558,1074,2023-01-02 06:57:00,2023-01-02 09:18:00,2023-01-02 17:54:00,14.0
2,35,15,2,568,727,1165,2023-01-02 09:28:00,2023-01-02 12:07:00,2023-01-02 19:25:00,11.0
2,35,16,0,527,620,949,2023-01-02 08:47:00,2023-01-02 10:20:00,2023-01-02 15:49:00,8.0
2,35,17,0,525,633,922,2023-01-02 08:45:00,2023-01-02 10:33:00,2023-01-02 15:22:00,3.0
